step,signal
435,9.17298e+96
436,8.17252e+96
437,7.27548e+96
438,6.47612e+96
439,5.76807e+96
440,5.14452e+96
441,4.59843e+96
442,4.12266e+96
443,3.71015e+96
444,3.35404e+96
445,3.04774e+96
446,2.78503e+96
447,2.56013e+96
448,2.36774e+96
449,2.20307e+96
450,2.06184e+96
451,1.9403e+96
452,1.83522e+96
453,1.74384e+96
454,1.66394e+96
455,1.59369e+96
456,1.53172e+96
457,1.47706e+96
458,1.42909e+96
459,1.38753e+96
460,1.35237e+96
461,1.32389e+96
462,1.30257e+96
463,1.28905e+96
464,1.28412e+96
465,1.28863e+96
466,1.30349e+96
467,1.32956e+96
468,1.36767e+96
469,1.41853e+96
470,1.4827e+96
471,1.56061e+96
472,1.65246e+96
473,1.75829e+96
474,1.8779e+96
475,2.0109e+96
476,2.15669e+96
477,2.31448e+96
478,2.48327e+96
479,2.66184e+96
480,2.8488e+96
481,3.0425e+96
482,3.24108e+96
483,3.44244e+96
484,3.64423e+96
485,3.84387e+96
486,4.03856e+96
487,4.22534e+96
488,4.4011e+96
489,4.5627e+96
490,4.70703e+96
491,4.83113e+96
492,4.93225e+96
493,5.00803e+96
494,5.05651e+96
495,5.07626e+96
496,5.06644e+96
497,5.02683e+96
498,4.95785e+96
499,4.86053e+96
500,4.73648e+96
501,4.58787e+96
502,4.41728e+96
503,4.22766e+96
504,4.0222e+96
505,3.80426e+96
506,3.57723e+96
507,3.34445e+96
508,3.10913e+96
509,2.87428e+96
510,2.64261e+96
511,2.41656e+96
512,2.1982e+96
513,1.98925e+96
514,1.79108e+96
515,1.60472e+96
516,1.43085e+96
517,1.26988e+96
518,1.12192e+96
519,9.86876e+95
520,8.64436e+95
521,7.54138e+95
522,6.5539e+95
523,5.67509e+95
524,4.8975e+95
525,4.21328e+95
526,3.61446e+95
527,3.0931e+95
528,2.64148e+95
529,2.25217e+95
530,1.91818e+95
531,1.63297e+95
532,1.39049e+95
533,1.18525e+95
534,1.01226e+95
535,8.67054e+94
536,7.45658e+94
537,6.44564e+94
538,5.60697e+94
539,4.91377e+94
540,4.34289e+94
541,3.87437e+94
542,3.49117e+94
543,3.1788e+94
544,2.92497e+94
545,2.71936e+94
546,2.5533e+94
547,2.41957e+94
548,2.31217e+94
549,2.22615e+94
550,2.15741e+94
551,2.10261e+94
552,2.05902e+94
553,2.0244e+94
554,1.99696e+94
555,1.97522e+94
556,1.95802e+94
557,1.94442e+94
558,1.93366e+94
559,1.92514e+94
560,1.91838e+94
561,1.91301e+94
562,1.90872e+94
563,1.90529e+94
564,1.90252e+94
565,1.90028e+94
566,1.89844e+94
567,1.89692e+94
568,1.89564e+94
569,1.89457e+94
570,1.89364e+94
571,1.89284e+94
572,1.89212e+94
573,1.89148e+94
574,1.89089e+94
575,1.89034e+94
576,1.88983e+94
577,1.88933e+94
578,1.88885e+94
579,1.88838e+94
580,1.88791e+94
581,1.88745e+94
582,1.88697e+94
583,1.88649e+94
584,1.88601e+94
585,1.88551e+94
586,1.885e+94
587,1.88447e+94
588,1.88394e+94
589,1.88339e+94
590,1.88282e+94
591,1.88224e+94
592,1.88165e+94
593,1.88105e+94
594,1.88044e+94
595,1.87982e+94
596,1.87919e+94
597,1.87856e+94
598,1.87793e+94
599,1.87729e+94
600,1.87666e+94
601,1.87603e+94
602,1.87542e+94
603,1.87482e+94
604,1.87423e+94
605,1.87367e+94
606,1.87313e+94
607,1.87262e+94
608,1.87215e+94
609,1.87171e+94
610,1.87132e+94
611,1.87097e+94
612,1.87067e+94
613,1.87043e+94
614,1.87025e+94
615,1.87012e+94
616,1.87005e+94
617,1.87005e+94
618,1.8701e+94
619,1.87022e+94
620,1.8704e+94
621,1.87064e+94
622,1.87094e+94
623,1.87129e+94
624,1.87169e+94
625,1.87214e+94
626,1.87262e+94
627,1.87314e+94
628,1.87369e+94
629,1.87426e+94
630,1.87485e+94
631,1.87545e+94
632,1.87605e+94
633,1.87665e+94
634,1.87725e+94
635,1.87783e+94
636,1.8784e+94
637,1.87895e+94
638,1.87947e+94
639,1.87996e+94
640,1.88042e+94
641,1.88084e+94
642,1.88123e+94
643,1.88159e+94
644,1.8819e+94
645,1.88218e+94
646,1.88242e+94
647,1.88263e+94
648,1.8828e+94
649,1.88293e+94
650,1.88303e+94
651,1.8831e+94
652,1.88315e+94
653,1.88316e+94
654,1.88315e+94
655,1.88311e+94
656,1.88306e+94
657,1.88299e+94
658,1.8829e+94
659,1.88279e+94
660,1.88268e+94
661,1.88256e+94
662,1.88243e+94
663,1.8823e+94
664,1.88216e+94
665,1.88203e+94
666,1.88189e+94
667,1.88176e+94
668,1.88163e+94
669,1.88152e+94
670,1.88141e+94
671,1.88131e+94
672,1.88122e+94
673,1.88115e+94
674,1.8811e+94
675,1.88106e+94
676,1.88104e+94
677,1.88104e+94
678,1.88106e+94
679,1.8811e+94
680,1.88117e+94
681,1.88125e+94
682,1.88136e+94
683,1.8815e+94
684,1.88165e+94
685,1.88183e+94
686,1.88203e+94
687,1.88226e+94
688,1.88251e+94
689,1.88278e+94
690,1.88307e+94
691,1.88338e+94
692,1.88371e+94
693,1.88406e+94
694,1.88443e+94
695,1.88482e+94
696,1.88523e+94
697,1.88565e+94
698,1.8861e+94
699,1.88656e+94
700,1.88704e+94
701,1.88754e+94
702,1.88806e+94
703,1.8886e+94
704,1.88917e+94
705,1.88976e+94
706,1.89037e+94
707,1.89101e+94
708,1.89168e+94
709,1.89238e+94
710,1.89311e+94
711,1.89388e+94
712,1.89467e+94
713,1.8955e+94
714,1.89637e+94
715,1.89727e+94
716,1.8982e+94
717,1.89916e+94
718,1.90015e+94
719,1.90117e+94
720,1.90221e+94
721,1.90328e+94
722,1.90436e+94
723,1.90546e+94
724,1.90657e+94
725,1.90768e+94
726,1.90879e+94
727,1.90991e+94
728,1.91101e+94
729,1.9121e+94
730,1.91317e+94
731,1.91422e+94
732,1.91525e+94
733,1.91624e+94
734,1.91721e+94
735,1.91815e+94
736,1.91905e+94
737,1.91991e+94
738,1.92074e+94
739,1.92154e+94
740,1.92229e+94
741,1.92301e+94
742,1.92371e+94
743,1.92437e+94
744,1.925e+94
745,1.92561e+94
746,1.92621e+94
747,1.92679e+94
748,1.92737e+94
749,1.92795e+94
750,1.92853e+94
751,1.92912e+94
752,1.92974e+94
753,1.93038e+94
